Limits,Extraction des coordonnées (Centroid),Transfert H-D (Centroid), Kernel (Centroid), Extraction des coordonnées des références (RMSD), Extraction des coordonnées des cibles (RMSD), Transfert H-D (RMSD), Transfert D-H (RMSD), Ecriture dans la matrice globale (RMSD), Kernel (RMSD)
10,0.140,0.060,0.074,0.158, 10.865, 4.802, 0.146, 0.060, 11.818
25,0.115,0.056,0.038,0.125,2.573,1.333,0.44,0.039,1.305
50,0.102,0.059,0.020,0.106,1.142,0.743,0.039,0.038,0.0862
100,0.099,0.057,0.011,0.100,0.554,0.409,0.028,0.037,0.824
200,0.104,0.058,0.005,0.105,0.297,0.253,0.028,0.038,0.926
400,0.115,0.058,0.003,0.114,0.181,0.173,0.041,0.044,1.106
500,0.129,0.058,0.003,0.129,0.192,0.160,0.050,0.046,1.123
750,0.148,0.057,0.002,0.149,0.174,0.137,0.075,0.051,1.255
1000,0.173,0.058,0.002,0.173,0.187,0.132,0.108,0.056,1.343
1500,0.203,0.058,0.002,0.203,0.203,0.116,0.172,0.070,1.650